timestamp,CAP,time
1473448328,85,1.32
1473448335,70,1.56
1473448341,95,1.11
1473448350,35,3.65
1473448356,90,1.12
1473448363,65,2.67
1473448394,10,25.41
1473448405,25,5.73
1473448414,30,4.14
1473448432,15,12.52
1473448438,80,1.29
1473448451,20,8.19
1473448458,55,2.14
1473448466,50,2.37
1473448472,100,0.97
1473448480,40,3.01
1473448488,45,3.23
1473448495,60,1.95
1473448502,75,1.52
1473448508,100,1.06
1473448516,35,3.49
1473448523,95,1.11
1473448530,50,2.33
1473448537,70,1.57
1473448545,40,2.95
1473448575,10,24.80
1473448581,60,1.86
1473448588,90,1.24
1473448594,80,1.35
1473448601,65,1.72
1473448608,55,2.14
1473448627,15,11.71
1473448636,30,4.26
1473448642,85,1.24
1473448649,75,1.47
1473448663,20,7.88
1473448671,45,2.75
1473448682,25,5.72
1473448689,65,1.74
1473448698,30,4.13
1473448708,25,5.31
1473448717,35,3.48
1473448723,100,0.98
1473448729,95,1.07
1473448737,40,2.76
1473448744,60,1.86
1473448750,85,1.26
1473448757,55,2.28
1473448764,90,1.28
1473448770,80,1.42
1473448782,20,6.72
1473448790,45,2.48
1473448796,70,1.55
1473448814,15,12.70
1473448820,75,1.44
1473448850,10,24.21
1473448858,50,2.47
1473448864,75,1.51
1473448871,95,1.13
1473448888,15,12.03
1473448895,55,2.06
1473448904,35,3.85
1473448917,20,8.03
1473448923,90,1.22
1473448930,65,1.69
1473448936,80,1.34
1473448944,45,2.71
1473448951,60,1.94
1473448957,85,1.22
1473448968,25,5.90
1473448977,40,2.97
1473448983,100,0.95
1473448990,50,2.31
1473448997,70,1.55
1473449006,30,4.33
1473449034,10,23.22
1473449042,50,2.37
1473449049,60,1.95
1473449057,35,3.53
1473449068,25,5.72
1473449087,15,13.53
1473449094,65,1.69
1473449100,75,1.52
1473449111,30,4.52
1473449117,95,1.10
1473449123,100,1.04
1473449130,85,1.26
1473449136,70,1.56
1473449149,20,7.99
1473449155,90,1.19
1473449162,80,1.42
1473449170,45,2.68
1473449197,10,22.52
1473449205,40,2.75
1473449212,55,2.06
1473449219,60,1.93
1473449230,25,5.54
1473449239,30,4.43
1473449247,55,2.14
1473449276,10,24.82
1473449284,50,2.26
1473449292,45,2.55
1473449299,70,1.63
1473449305,65,1.67
1473449312,75,1.62
1473449318,85,1.32
1473449325,95,1.15
1473449333,35,3.60
